,date,volume,open,high,low,close,label,MA-5,MA-10,MA-20,MA-60,RSI-14,MACD,MACD_signal,MACD_hist,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,buy,sell,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
0,2012-12-03,2163791,58.7,59.8,58.6,58.8,0.0,,,,,,,,,2961,0,6480690,1241,15254,13534, ,953,381,0,6480690,172,8392,8601,31448286,34596279,TW0002330008,5781930874,20138778485,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8601000.0,172000.0,381000.0,0.0,8392000.0,-2109244048.0,36615444.0,782000.0,0.0,320000.0,37717444.0,7573226.0,0.0
1,2012-12-04,2262898,58.8,59.7,58.3,59.7,0.0,,,,,,,,,3382,2,6480690,2022,16612,15254, ,1185,828,1,6480690,216,7779,8392,21721076,35601982,TW0002330008,5797412780,20123296579,22.36,77.63,100.0,100.0,25920709359,2012-05-18,8392000.0,216000.0,828000.0,1000.0,7779000.0,-2109244048.0,37717444.0,856000.0,0.0,500000.0,39073444.0,7752443.0,0.0
2,2012-12-05,2270207,59.9,60.0,59.2,59.4,0.0,,,,,,,,,2392,0,6480690,2352,16652,16612, ,4235,347,2,6480690,432,7862,7779,38537440,42388475,TW0002330008,5801543815,20119165544,22.38,77.61,100.0,100.0,25920709359,2012-05-18,7779000.0,432000.0,347000.0,2000.0,7862000.0,-2109244048.0,39073444.0,4613000.0,702000.0,2500000.0,45484444.0,7954673.0,0.0
3,2012-12-06,5228980,59.8,61.0,59.3,59.3,0.0,,,,,,,,,1526,53,6480690,1510,16615,16652, ,710,123,2,6480690,132,7869,7862,27568089,25196068,TW0002330008,5800491794,20120217565,22.37,77.62,100.0,100.0,25920709359,2012-05-18,7862000.0,132000.0,123000.0,2000.0,7869000.0,-2109244048.0,45484444.0,1638000.0,27000.0,600000.0,47695444.0,7915223.0,0.0
4,2012-12-07,2593751,59.8,60.0,58.7,58.8,0.0,-0.0067567567567568525,,,,,,,,1560,16,6480690,3080,15079,16615, ,1290,61,2,6480690,1051,8857,7869,24588000,17703205,TW0002330008,5792277999,20128431360,22.34,77.65,100.0,100.0,25920709359,2012-05-18,7869000.0,1051000.0,61000.0,2000.0,8857000.0,-2109244048.0,47695444.0,713000.0,185000.0,200000.0,48423444.0,7707333.0,0.0
5,2012-12-10,1599127,59.1,59.5,58.3,59.0,0.0,-0.004051316677920238,,,,,,,,1745,2,6480690,852,15970,15079, ,486,554,10,6480690,102,8395,8857,21295000,26192877,TW0002330008,5794254876,20126454483,22.35,77.64,100.0,100.0,25920709359,2012-05-18,8857000.0,102000.0,554000.0,10000.0,8395000.0,-2109244048.0,48423444.0,3089000.0,306000.0,0.0,51206444.0,7661460.0,0.0
6,2012-12-11,4085096,59.3,60.4,58.9,59.9,0.0,0.010458839406207905,,,,,,,,1475,3,6480690,2652,14790,15970, ,628,181,25,6480690,779,8968,8395,34267133,25806907,TW0002330008,5782297626,20138411733,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8395000.0,779000.0,181000.0,25000.0,8968000.0,-2109244048.0,51206444.0,2616000.0,0.0,1500000.0,55322444.0,7730255.0,0.0
7,2012-12-12,8493402,60.8,62.8,60.5,62.5,0.0,0.04340567612687816,,,,,,,,751,7,6480690,1758,13776,14790, ,602,121,0,6480690,205,9052,8968,36612000,34280656,TW0002330008,5779121298,20141588061,22.29,77.7,100.0,100.0,25920709359,2012-05-18,8968000.0,205000.0,121000.0,0.0,9052000.0,-2109244048.0,55322444.0,139000.0,74000.0,100000.0,55487444.0,7838501.0,0.0
8,2012-12-13,6373402,62.6,63.2,61.7,62.2,0.0,0.028439153439153538,,,,,,,,3552,3,6480690,1119,16206,13776, ,1383,300,0,6480690,238,8990,9052,33525111,27885668,TW0002330008,5775791855,20144917504,22.28,77.71,100.0,100.0,25920709359,2012-05-18,9052000.0,238000.0,300000.0,0.0,8990000.0,-2109244048.0,55487444.0,1480000.0,614170.0,0.0,56353274.0,7902279.0,0.0
9,2012-12-14,7223614,62.5,64.2,62.3,63.5,0.0,0.0338651904916966,0.0528933841817277,,,,,,,1007,12,6480927,1544,15657,16206, ,656,292,12,6480927,278,8964,8990,26256654,23222295,TW0002330008,5772973496,20147735863,22.27,77.72,100.0,100.0,25920709359,2012-05-18,8990000.0,278000.0,292000.0,12000.0,8964000.0,-2109007020.0,56353274.0,1726000.0,0.0,0.0,58079274.0,7868991.0,0.0
10,2012-12-17,4304552,63.9,63.9,61.9,63.0,0.0,0.012536162005786056,0.03737856084307584,,,,,,,1559,40,6480927,837,16339,15657, ,773,972,1,6480927,206,8197,8964,32261260,40366565,TW0002330008,5782181801,20138527558,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8964000.0,206000.0,972000.0,1000.0,8197000.0,-2109007020.0,58079274.0,720000.0,0.0,800000.0,59599274.0,7970455.0,0.0
11,2012-12-18,1777265,63.5,63.6,62.7,63.4,0.0,0.007628734901462238,0.03764320785597377,,,,,,,1126,0,6480927,312,17153,16339, ,659,316,0,6480927,97,7978,8197,25430000,29962837,TW0002330008,5788230638,20132478721,22.33,77.66,100.0,100.0,25920709359,2012-05-18,8197000.0,97000.0,316000.0,0.0,7978000.0,-2109007020.0,59599274.0,756000.0,2029000.0,750000.0,59076274.0,8030589.0,0.0
12,2012-12-19,2412631,63.8,63.8,62.7,63.7,0.0,0.008549715009499897,0.03526734926052323,,,,,,,513,10,6480927,913,16743,17153, ,369,65,0,6480927,147,8060,7978,23719849,20471406,TW0002330008,5779172651,20141536708,22.29,77.7,100.0,100.0,25920709359,2012-05-18,7978000.0,147000.0,65000.0,0.0,8060000.0,-2109007020.0,59076274.0,161000.0,0.0,168000.0,59405274.0,8069160.0,0.0
13,2012-12-20,1845642,63.2,63.7,62.7,62.7,0.0,-0.008852355358836361,0.013415225472765215,,,,,,,1765,0,6480927,1693,16815,16743, ,1017,367,1,6480927,95,7787,8060,23171000,25690480,TW0002330008,5780991572,20139717787,22.3,77.69,100.0,100.0,25920709359,2012-05-18,8060000.0,95000.0,367000.0,1000.0,7787000.0,-2109007020.0,59405274.0,14000.0,51000.0,0.0,59368274.0,8039394.0,0.0
14,2012-12-21,2999545,62.7,62.7,60.6,60.8,0.0,-0.030612244897959103,-0.020460770098276414,,,58.928571428571416,,,,1233,11,6480927,974,17063,16815, ,1163,429,1,6480927,103,7460,7787,21015000,27063927,TW0002330008,5787999499,20132709860,22.32,77.67,100.0,100.0,25920709359,2012-05-18,7787000.0,103000.0,429000.0,1000.0,7460000.0,-2109007020.0,59368274.0,158000.0,1000000.0,0.0,58526274.0,8014848.0,0.0
15,2012-12-22,986182,60.8,61.2,60.7,60.9,0.0,-0.022471910112359418,-0.021843880501124534,,,59.31972789115646,,,,405,0,6480927,1089,16379,17063, ,172,47,1,6480927,141,7553,7460,2358000,929994,TW0002330008,5786847499,20133861860,22.32,77.67,100.0,100.0,25920709359,2012-05-18,,,,,,,,,,,,,
16,2012-12-24,1483448,61.0,61.5,60.3,60.3,0.0,-0.022373540856030945,-0.032102728731942434,,,55.88090308587201,,,,520,0,6480927,384,16515,16379, ,355,106,0,6480927,38,7485,7553,11930000,8088309,TW0002330008,5788906808,20131802551,22.33,77.66,100.0,100.0,25920709359,2012-05-18,7553000.0,38000.0,106000.0,0.0,7485000.0,-2109007020.0,58560274.0,64000.0,4620000.0,0.0,54004274.0,7707398.0,0.0
17,2012-12-25,1869543,61.2,61.2,60.4,61.1,0.0,-0.0009810333551338796,-0.0170527670527672,,,59.27118703399028,,,,640,2,6480927,1441,15712,16515, ,112,167,1,6480927,178,7495,7485,10802000,2687000,TW0002330008,5781755808,20138953551,22.3,77.69,100.0,100.0,25920709359,2012-05-18,7485000.0,178000.0,167000.0,1000.0,7495000.0,-2109007020.0,54004274.0,176000.0,0.0,300000.0,54480274.0,7606781.0,0.0
18,2012-12-26,828957,61.3,61.7,60.9,61.2,0.0,0.005586592178771123,-0.013857557202707274,,,59.688187443598636,,,,391,15,6480927,1129,14959,15712, ,180,82,0,6480927,73,7486,7495,8348000,3139000,TW0002330008,5778974808,20141734551,22.29,77.7,100.0,100.0,25920709359,2012-05-18,7495000.0,73000.0,82000.0,0.0,7486000.0,-2109007020.0,54480274.0,66000.0,2202000.0,0.0,52344274.0,7519842.0,0.0
