,date,volume,open,high,low,close,label
0,2012-12-03,3696524900,7582.65,7628.29,7562.19,7599.91,0.0
1,2012-12-04,3947860691,7572.11,7600.98,7536.66,7600.98,0.0
2,2012-12-05,4858910844,7575.63,7650.12,7567.46,7649.05,0.0
3,2012-12-06,4399887242,7660.97,7673.62,7616.79,7623.26,0.0
4,2012-12-07,3888752378,7640.25,7672.92,7631.63,7642.26,0.0
5,2012-12-10,3241143708,7658.39,7669.05,7603.25,7609.5,0.0
6,2012-12-11,3613646561,7621.0,7630.66,7556.67,7613.69,0.0
7,2012-12-12,3634231411,7653.9,7696.02,7645.54,7690.19,2.0
8,2012-12-13,4527314656,7713.69,7757.09,7699.41,7757.09,2.0
9,2012-12-14,4163921898,7722.88,7723.74,7686.32,7698.77,2.0
10,2012-12-17,3806888176,7664.97,7683.32,7603.51,7631.28,0.0
11,2012-12-18,3314197215,7620.29,7643.74,7616.04,7643.74,0.0
12,2012-12-19,3890810776,7671.13,7685.63,7647.01,7677.47,2.0
13,2012-12-20,3696585606,7646.13,7646.13,7574.56,7595.46,0.0
14,2012-12-21,3854713216,7592.57,7608.81,7491.52,7519.93,1.0
15,2012-12-22,2153421811,7537.52,7546.9,7520.8,7540.14,0.0
16,2012-12-24,2593607646,7542.66,7566.09,7520.62,7535.52,0.0
17,2012-12-25,3186672856,7556.24,7654.6,7543.83,7636.57,0.0
18,2012-12-26,3203879587,7646.51,7683.09,7633.83,7634.19,0.0
19,2012-12-27,3031920321,7634.8,7661.01,7622.73,7648.41,0.0
20,2012-12-28,3185729335,7700.87,7708.31,7665.04,7699.5,0.0
21,2013-01-02,3416421980,7738.05,7793.48,7715.26,7779.22,2.0
22,2013-01-03,4480963886,7826.34,7855.16,7815.29,7836.84,2.0
23,2013-01-04,4172906828,7818.27,7818.27,7773.06,7805.99,2.0
24,2013-01-07,3868825706,7797.05,7797.05,7725.47,7755.09,0.0
25,2013-01-08,3738832187,7737.07,7751.8,7692.98,7721.66,0.0
26,2013-01-09,3891674590,7726.4,7763.97,7703.23,7738.64,0.0
27,2013-01-10,5021568159,7780.98,7825.06,7760.09,7811.64,2.0
28,2013-01-11,3732799197,7843.57,7845.36,7801.69,7819.15,2.0
29,2013-01-14,3409241125,7795.68,7823.97,7731.32,7823.97,2.0
30,2013-01-15,4055375585,7823.51,7823.51,7744.39,7765.02,0.0
31,2013-01-16,3659803910,7766.09,7769.18,7700.43,7700.43,1.0
32,2013-01-17,4774599972,7748.57,7774.97,7603.27,7616.64,1.0
33,2013-01-18,3431132485,7697.28,7732.87,7676.11,7732.87,0.0
34,2013-01-21,2622100359,7725.36,7739.37,7674.18,7724.92,0.0
35,2013-01-22,2764855726,7746.79,7759.47,7699.25,7759.1,0.0
36,2013-01-23,2817736446,7773.2,7773.2,7730.1,7744.18,0.0
37,2013-01-24,3202135347,7717.04,7724.68,7653.62,7695.99,1.0
38,2013-01-25,2819972795,7695.25,7704.31,7637.2,7672.58,1.0
39,2013-01-28,2693968132,7685.67,7717.35,7685.67,7714.67,1.0
40,2013-01-29,3309582978,7744.15,7802.0,7739.6,7802.0,0.0
